dataset_id,task_id,target_feature,is_classification,dataset_name
46904,363612,scaled-sound-pressure,False,airfoil_self_noise
46905,363613,ResourceApproved,True,Amazon_employee_access
46906,363614,classes,True,anneal
46907,363615,price,False,Another-Dataset-on-used-Fiat-500
46908,363616,AirPressureSystemFailure,True,APSFailure
46910,363618,SubscribeTermDeposit,True,bank-marketing
46911,363619,churn,True,Bank_Customer_Churn
46912,363620,MoleculeElicitsResponse,True,Bioresponse
46913,363621,DonatedBloodInMarch2007,True,blood-transfusion-service-center
46915,363623,CustomerChurned,True,churn
46916,363624,MobileHomePolicy,True,coil2000_insurance_policies
46917,363625,ConcreteCompressiveStrength,False,concrete_compressive_strength
46918,363626,good_or_bad_customer,True,credit-g
46919,363627,DefaultOnPaymentNextMonth,True,credit_card_clients_default
46920,363628,satisfaction,True,customer_satisfaction_in_airline
46921,363629,TestedPositiveForDiabetes,True,diabetes
46922,363630,EarlyReadmission,True,Diabetes130US
46923,363631,price,False,diamonds
46924,363632,ArrivedLate,True,E-CommereShippingData
46927,363671,attended,True,Fitness_Club
46928,363672,Time_taken(min),False,Food_Delivery_Time
46929,363673,FinancialDistressNextTwoYears,True,GiveMeSomeCredit
46930,363674,Contaminated,True,hazelnut-spread-contaminant-detection
46931,363675,charges,False,healthcare_insurance_expenses
46932,363676,RiskPerformance,True,heloc
46933,363677,CompoundActivity,True,hiva_agnostic
46934,363678,LnMedianHouseValue,False,houses
46935,363679,LookingForJobChange,True,HR_Analytics_Job_Change_of_Data_Scientists
46937,363681,AcceptCoupon,True,in_vehicle_coupon_recommendation
46938,363682,bad_client_target,True,Is-this-a-good-customer
46939,363683,appetency,True,kddcup09_appetency
46940,363684,Response,True,Marketing_Campaign
46941,363685,RiskLevel,True,maternal_health_risk
46942,363686,SALE_PRC,False,miami_housing
46980,363711,LET_IS,True,MIC
46969,363689,Malware,True,NATICUSdroid
46947,363691,Revenue,True,online_shoppers_intention
46949,363693,ResidualSize,False,physiochemical_protein
46950,363694,company_bankrupt,True,polish_companies_bankruptcy
46952,363696,Biodegradable,True,qsar-biodeg
46953,363697,MEDIAN_PXC50,False,QSAR-TID-11
46954,363698,LC50,False,QSAR_fish_toxicity
46955,363699,ObjectType,True,SDSS17
46956,363700,HighEnergySeismicBump,True,seismic-bumps
46958,363702,SiteType,True,splice
46960,363704,AcademicOutcome,True,students_dropout_and_academic_success
46961,363705,critical_temp,False,superconductivity
46962,363706,Bankrupt,True,taiwanese_bankruptcy_prediction
46963,363707,WebsiteType,True,website_phishing
46964,363708,median_wine_quality,False,wine_quality
46979,363712,defects,True,jm1
